university_name,country
Washington State University - Pullman,United States of America
Western University,Canada
Brigham Young University,United States of America
City University of New York City College,United States of America
Technical University Darmstadt,Germany
Dresden University of Technology,Germany
Ecole National Superieure Mines - Paris,France
Ecole Normale Superieure - Lyon,France
Eotvos Lorand University,Hungary
Gunma University,Japan
Henri Poincare University (Nancy 1),France
Indiana University-Purdue University at Indianapolis,United States of America
Industrial Physics and Chemistry Higher Educational Institution - Paris,France
International School for Advanced Studies,Italy
Korea Advanced Institute of Science and Technology,South Korea
Linkoping University,Sweden
London School of Hygiene and Tropical Medicine,United Kingdom
Nihon University,Japan
Polytechnic Institute of Milan,Italy
"Royal Holloway, U. of London",United Kingdom
Scuola Normale Superiore - Pisa,Italy
State University of New York Health Science Center at Brooklyn,United States of America
Stockholm School of Economics,Sweden
Sungkyunkwan University,South Korea
Technical University of Braunschweig,Germany
The Hong Kong Polytechnic University,Hong Kong
The University of Montana - Missoula,United States of America
The University of Texas at Dallas,United States of America
The University of Tokushima,Japan
Tokyo Medical and Dental University,Japan
University of Bayreuth,Germany
University of Bielefeld,Germany
University of Duesseldorf,Germany
University of Nevada - Reno,United States of America
University of New Hampshire - Durham,United States of America
University of Oklahoma - Norman,United States of America
University of Paris Dauphine (Paris 9),France
University of Perugia,Italy
University of Regensburg,Germany
University of Rhode Island,United States of America
University of Roma - Tor Vergata,Italy
University of the Mediterranean (Aix-Marseille 2),France
University of Ulm,Germany
Utah State University,United States of America
Yamaguchi University,Japan
Hannover Medical School,Germany
Kagoshima University,Japan
Loyola University Chicago,United States of America
Medical College of Georgia,United States of America
Medical University of Graz,Austria
Medical University of Innsbruck,Austria
Montana State University - Bozeman,United States of America
Nara Institute of Science and Technology,Japan
National Yang Ming University,Taiwan
Northern Arizona University,United States of America
Saarland University,Germany
Sao Paulo State University,Brazil
Swansea Univ,United Kingdom
The College of  William and Mary,United States of America
The Graduate University for Advanced Studies,Japan
The Royal Veterinary and Agricultural University,Denmark
The University of Akron,United States of America
The University of Connecticut Health Center,United States of America
The University of Memphis,United States of America
University of Bari,Italy
University of Central Florida,United States of America
University of Giessen,Germany
University of Jena,Germany
University of Jyvaskyla,Finland
University of Louisville,United States of America
University of Maastricht,Netherlands
University of Maine,United States of America
University of Mississippi,United States of America
University of Provence (Aix-Marseille 1),France
University of Quebec,Canada
University of Rostock,Germany
University of Sevilla,Spain
University of Sherbrooke,Canada
University of Tennessee Health Science Center,United States of America
University of Tromso,Norway
University of Wisconsin - Milwaukee,United States of America
University of Wroclaw,Poland
Victor Segalen Bordeaux 2 University,France
Vrije University Brussel,Belgium
University of Arkansas at Fayetteville,United States of America
Brunel University,United Kingdom
Louisiana State University Health Sciences Center,United States of America
Mississippi State University,United States of America
Shandong University,China
University of Arkansas at Little Rock,United States of America
University of New England,United States of America
West Virginia University,United States of America
"Rutgers, The State University of New Jersey",United States of America
Catholic University of Chile,Chile
Lanzhou University,China
Nankai University,China
University of Hannover,Germany
University of Kansas Medical Center,United States of America
University of Lille 1,France
University of Colorado at Denver,United States of America
Cranfield University,United Kingdom
University of Dortmund,Germany
Curtin University of Technology,Australia
University of Pompeu Fabra,Spain
University of Santiago Compostela,Spain
King Fahd University of Petroleum & Minerals,Saudi Arabia
Southeast University,China
The University of Texas at San Antonio,United States of America
University of Versailles,France
Xian Jiao Tong University,China
University of Lorraine,France
Karlsruhe Institute of Technology (KIT),Germany
Beijing Normal University,China
Beijing University of Aeronautics and Astronautics,China
Federal University of Sao Paulo,Brazil
University of Malaya,Malaysia
University of Milan - Bicocca,Italy
"University of Technology, Sydney",Australia
University of Zagreb,Croatia
Aix Marseille University,France
University of California-Berkeley,United States of America
University of Michigan-Ann Arbor,United States of America
The University of Melbourne,Australia
University of Pittsburgh-Pittsburgh Campus,United States of America
Swiss Federal Institute of Technology Lausanne,Switzerland
Texas A & M University,United States of America
The University of New South Wales,Australia
University Paris Diderot - Paris 7,France
Icahn School of Medicine at Mount Sinai,United States of America
Norwegian University of Science and Technology - NTNU,Norway
"Queen Mary, University of London",United Kingdom
Western University (The University of Western Ontario),Canada
Beihang University,China
Central South University,China
ESPCI ParisTech,France
London School of Hygiene & Tropical Medicine,United Kingdom
SUNY at Albany,United States of America
UNESP,Brazil
University of Campinas,Brazil
Capital University of Medical Sciences,China
Catholic University of Korea,South Korea
King Abdullah University of Science and Technology,Saudi Arabia
MINES ParisTech,France
Nanjing Medical University,China
Peking Union Medical College,China
University of Auvergne,France
"University of Science, Malaysia",Malaysia
University of Paris-Sud (Paris 11),France
"University of Pittsburgh, Pittsburgh Campus",United States of America
Université libre de Bruxelles (ULB),Belgium
Vrije Universiteit Brussel (VUB),Belgium
Toulouse School of Economics,France
"University at Buffalo, the State University of New York",United States of America
University of Alabama at Birmingham,United States of America
University of Montpellier,France
China Medical University,China
Paris Dauphine University (Paris 9),France
"The University of Newcastle, Australia",Australia
University at Albany (State University of New York),United States of America
University of Montana - Missoula,United States of America
